PortName,Country,Latitude,Longitude,Region,Sub Region,country_id,created_by
Durres,Albania,19.45469,41.32355,Europe,Southern Europe,3,1
Alger (Algiers),Algeria,3.05,36.75,Africa,Northern Africa,4,1
Arzew,Algeria,-0.316666667,35.86666667,Africa,Northern Africa,4,1
Ghazaouet,Algeria,-1.85,35.1,Africa,Northern Africa,4,1
Mostaganem,Algeria,0.08918,35.93115,Africa,Northern Africa,4,1
Oran,Algeria,-0.63588,35.69906,Africa,Northern Africa,4,1
Pago Pago,American Samoa,-170.7,14.26666667,Oceania,Polynesia,5,1
Cabinda,Angola,12.2,-5.55,Africa,Sub-Saharan Africa,7,1
Lobito,Angola,13.53601,-12.3644,Africa,Sub-Saharan Africa,7,1
Luanda,Angola,13.23432,-8.83682,Africa,Sub-Saharan Africa,7,1
Malongo,Angola,12.1980218,-5.396406482,Africa,Sub-Saharan Africa,7,1
Namibe,Angola,12.15222,-15.19611,Africa,Sub-Saharan Africa,7,1
Soyo,Angola,12.36894,-6.1349,Africa,Sub-Saharan Africa,7,1
Anguilla,Anguilla,-63.09375,18.17648,Americas,Latin America and the Caribbean,8,1
Saint John's,Antigua and Barbuda,-61.85,17.11666667,Americas,Latin America and the Caribbean,10,1
Bahia Blanca,Argentina,-62.28333333,-38.71666667,Americas,Latin America and the Caribbean,11,1
Buenos Aires,Argentina,-58.66666667,-34.58333333,Americas,Latin America and the Caribbean,11,1
Mar del Plata,Argentina,-57.53333333,-38.05,Americas,Latin America and the Caribbean,11,1
Puerto Deseado,Argentina,-65.9,-47.75,Americas,Latin America and the Caribbean,11,1
Puerto Madryn,Argentina,-65.03333333,-42.75,Americas,Latin America and the Caribbean,11,1
Rosario,Argentina,-60.65,-32.95,Americas,Latin America and the Caribbean,11,1
San Antonio Este,Argentina,-64.73333333,-40.8,Americas,Latin America and the Caribbean,11,1
Ushuaia,Argentina,-68.3,-54.8,Americas,Latin America and the Caribbean,11,1
Zarate,Argentina,-59.03333333,-34.1,Americas,Latin America and the Caribbean,11,1
Barcadera,Aruba,-69.98333333,12.48333333,Americas,Latin America and the Caribbean,13,1
Oranjestad,Aruba,-70.02703,12.52398,Americas,Latin America and the Caribbean,13,1
Adelaide,Australia,138.5833333,-34.91666667,Oceania,Australia and New Zealand,14,1
Bell Bay,Australia,146.87,-41.13,Oceania,Australia and New Zealand,14,1
Brisbane,Australia,153.0166667,-27.46666667,Oceania,Australia and New Zealand,14,1
Burnie,Australia,145.90375,-41.05584,Oceania,Australia and New Zealand,14,1
Cairns,Australia,145.76613,-16.92366,Oceania,Australia and New Zealand,14,1
Dampier,Australia,116.71256,-20.66275,Oceania,Australia and New Zealand,14,1
Darwin,Australia,130.8333333,-12.45,Oceania,Australia and New Zealand,14,1
Devonport,Australia,146.35152,-41.17695,Oceania,Australia and New Zealand,14,1
Fremantle,Australia,115.74557,-32.05632,Oceania,Australia and New Zealand,14,1
Geelong,Australia,144.36069,-38.14711,Oceania,Australia and New Zealand,14,1
Melbourne,Australia,144.9666667,-37.81666667,Oceania,Australia and New Zealand,14,1
Newcastle,Australia,151.7801,-32.92953,Oceania,Australia and New Zealand,14,1
Port Botany,Australia,151.22277,-33.97447,Oceania,Australia and New Zealand,14,1
Port Kembla,Australia,150.9012,-34.4818,Oceania,Australia and New Zealand,14,1
Sydney,Australia,151.2,-33.85,Oceania,Australia and New Zealand,14,1
Townsville,Australia,146.80569,-19.26639,Oceania,Australia and New Zealand,14,1
Weipa,Australia,141.87883,-12.62346,Oceania,Australia and New Zealand,14,1
Nassau,Bahamas The,-77.35,25.08333333,Americas,Latin America and the Caribbean,17,1
Mina Sulman Port,Bahrain,50.61666667,26.2,Asia,Western Asia,18,1
Chattogram,Bangladesh,91.83333333,22.33333333,Asia,Southern Asia,19,1
Mongla,Bangladesh,89.61095,22.47223,Asia,Southern Asia,19,1
Bridgetown,Barbados,-59.62021,13.10732,Americas,Latin America and the Caribbean,20,1
Antwerpen,Belgium,4.416666667,51.21666667,Europe,Western Europe,22,1
Gent (Ghent),Belgium,3.716666667,51.05,Europe,Western Europe,22,1
Zeebrugge,Belgium,3.2,51.33333333,Europe,Western Europe,22,1
Belize City,Belize,-88.19756,17.49952,Americas,Latin America and the Caribbean,23,1
Big Creek,Belize,-88.4,16.51666667,Americas,Latin America and the Caribbean,23,1
Cotonou,Benin,2.41833,6.36536,Africa,Sub-Saharan Africa,24,1
Hamilton,Bermuda,-64.78303,32.2949,Americas,Northern America,25,1
Kralendijk,"Bonaire, Sint Eustatius and Saba",-68.26666667,12.15,Americas,Latin America and the Caribbean,155,1
Fortaleza,Brazil,-38.54306,-3.71722,Americas,Latin America and the Caribbean,31,1
Ilheus,Brazil,-39.03949,-14.79364,Americas,Latin America and the Caribbean,31,1
Imbituba,Brazil,-48.67028,-28.24,Americas,Latin America and the Caribbean,31,1
Itaguai,Brazil,-43.76666667,-22.86666667,Americas,Latin America and the Caribbean,31,1
Itajai,Brazil,-48.66194,-26.90778,Americas,Latin America and the Caribbean,31,1
Itapoa,Brazil,-48.6,-26.11666667,Americas,Latin America and the Caribbean,31,1
Manaus,Brazil,-60.025,-3.10194,Americas,Latin America and the Caribbean,31,1
Natal,Brazil,-35.20944,-5.795,Americas,Latin America and the Caribbean,31,1
Navegantes,Brazil,-48.65,-26.9,Americas,Latin America and the Caribbean,31,1
Paranagua,Brazil,-48.5,-25.51666667,Americas,Latin America and the Caribbean,31,1
Pecem Pt/Sao Goncalo do Amarante,Brazil,-38.86666667,-3.533333333,Americas,Latin America and the Caribbean,31,1
Rio de Janeiro,Brazil,-43.23333333,-22.88333333,Americas,Latin America and the Caribbean,31,1
Rio Grande,Brazil,-43.18223,-22.90642,Americas,Latin America and the Caribbean,31,1
Salvador,Brazil,-38.51083,-12.97111,Americas,Latin America and the Caribbean,31,1
Santana Pt./Macapa,Brazil,-51.16666667,-0.05,Americas,Latin America and the Caribbean,31,1
Santos,Brazil,-46.33333333,-23.95,Americas,Latin America and the Caribbean,31,1
Sao Luis,Brazil,-44.3,-2.5,Americas,Latin America and the Caribbean,31,1
Suape,Brazil,-38.62083,-12.74083,Americas,Latin America and the Caribbean,31,1
Vitoria Pt,Brazil,-40.33333333,-20.31666667,Americas,Latin America and the Caribbean,31,1
Burgas,Bulgaria,27.46781,42.50606,Europe,Eastern Europe,34,1
Varna,Bulgaria,27.91667,43.21667,Europe,Eastern Europe,34,1
Kampong Saom,Cambodia,103.5166667,10.6,Asia,South-eastern Asia,37,1
Douala,Cameroon,9.70428,4.04827,Africa,Sub-Saharan Africa,38,1
Kribi,Cameroon,9.90765,2.93725,Africa,Sub-Saharan Africa,38,1
Argentia,Canada,-54,47.3,Americas,Northern America,39,1
Halifax,Canada,-63.57291,44.6464,Americas,Northern America,39,1
Montreal,Canada,-73.58781,45.50884,Americas,Northern America,39,1
New Westminster,Canada,-122.91092,49.20678,Americas,Northern America,39,1
Prince Rupert,Canada,-130.32098,54.31507,Americas,Northern America,39,1
Saint-John,Canada,-66.06666667,45.26666667,Americas,Northern America,39,1
Saint-John's,Canada,-52.73333333,47.56666667,Americas,Northern America,39,1
Squamish,Canada,-122.95396,50.11817,Americas,Northern America,39,1
Toronto,Canada,-79.4163,43.70011,Americas,Northern America,39,1
Vancouver,Canada,-123.11934,49.24966,Americas,Northern America,39,1
Mindelo,Cape Verde,-25,16.88333333,Africa,Sub-Saharan Africa,40,1
Palmeira,Cape Verde,-22.98348,16.75754,Africa,Sub-Saharan Africa,40,1
Praia,Cape Verde,-23.51254,14.93152,Africa,Sub-Saharan Africa,40,1
Sal Rei,Cape Verde,-22.91722,16.17611,Africa,Sub-Saharan Africa,40,1
Georgetown Grand ,Cayman Islands,-81.38333333,19.3,Americas,Latin America and the Caribbean,41,1
Antofagasta,Chile,-70.38333333,-23.63333333,Americas,Latin America and the Caribbean,44,1
Arica,Chile,-70.31666667,-18.48333333,Americas,Latin America and the Caribbean,44,1
Coronel,Chile,-73.15,-37.01666667,Americas,Latin America and the Caribbean,44,1
Iquique,Chile,-70.13333333,-20.21666667,Americas,Latin America and the Caribbean,44,1
Lirquen,Chile,-72.98333333,-36.7,Americas,Latin America and the Caribbean,44,1
Mejillones,Chile,-70.45,-23.1,Americas,Latin America and the Caribbean,44,1
Puerto Angamos,Chile,-70.45,-23.08333333,Americas,Latin America and the Caribbean,44,1
Punta Arenas,Chile,-70.93333333,-53.13333333,Americas,Latin America and the Caribbean,44,1
San Antonio,Chile,-71.6,-33.6,Americas,Latin America and the Caribbean,44,1
San Vicente,Chile,-73.13333333,-36.7,Americas,Latin America and the Caribbean,44,1
Valparaiso,Chile,-71.63333333,-33.03333333,Americas,Latin America and the Caribbean,44,1
Caofeidian Pt,China,118.5333333,38.95,Asia,Eastern Asia,45,1
DA CHAN BAY,China,113.8666667,22.53333333,Asia,Eastern Asia,45,1
Dongguan Pt,China,113.75,23.03333333,Asia,Eastern Asia,45,1
Dongjiangkou,China,119.5225398,35.30888533,Asia,Eastern Asia,45,1
Fuqing,China,119.3666667,25.71666667,Asia,Eastern Asia,45,1
Huizhou Pt,China,114.3666667,23.08333333,Asia,Eastern Asia,45,1
Humen Pt,China,113.6666667,22.83333333,Asia,Eastern Asia,45,1
Jiangyin,China,119.3,25.46666667,Asia,Eastern Asia,45,1
Jinzhou Pt,China,121.15,41.11666667,Asia,Eastern Asia,45,1
Lianyungang,China,119.4333333,34.71666667,Asia,Eastern Asia,45,1
Nansha Pt,China,113.5833333,22.75,Asia,Eastern Asia,45,1
Nantong Pt,China,120.85,32.01666667,Asia,Eastern Asia,45,1
Qinhuangdao Pt,China,119.5833333,39.91666667,Asia,Eastern Asia,45,1
Quanzhou Pt,China,118.6,24.93333333,Asia,Eastern Asia,45,1
Rizhao Pt,China,119.5333333,35.38333333,Asia,Eastern Asia,45,1
Shekou Pt,China,113.9166667,22.48333333,Asia,Eastern Asia,45,1
Shidao Pt,China,122.4333333,36.86666667,Asia,Eastern Asia,45,1
Waihai,China,113.1333333,22.58333333,Asia,Eastern Asia,45,1
Weifang Pt,China,119.1,36.71666667,Asia,Eastern Asia,45,1
Weihai,China,122.1166667,37.51666667,Asia,Eastern Asia,45,1
Yangpu Pt,China,109.2,19.7,Asia,Eastern Asia,45,1
Yantian Pt,China,119.8666667,26.85,Asia,Eastern Asia,45,1
Yingkou Pt,China,122.2166667,40.65,Asia,Eastern Asia,45,1
Zhangjiagang,China,120.5333333,31.86666667,Asia,Eastern Asia,45,1
Zhangzhou Pt,China,117.65,24.51666667,Asia,Eastern Asia,45,1
Zhuhai Pt,China,113.5666667,22.28333333,Asia,Eastern Asia,45,1
Flying Fish Cove,Christmas Island,105.7166667,-10.41666667,Oceania,Australia and New Zealand,46,1
Barranquilla,Colombia,-74.78132,10.96854,Americas,Latin America and the Caribbean,48,1
Buenaventura,Colombia,-77.03116,3.8801,Americas,Latin America and the Caribbean,48,1
Cartagena,Colombia,-75.51444,10.39972,Americas,Latin America and the Caribbean,48,1
Leticia,Colombia,-69.93333333,-4.216666667,Americas,Latin America and the Caribbean,48,1
Santa Marta,Colombia,-74.19904,11.24079,Americas,Latin America and the Caribbean,48,1
Tolu,Colombia,-75.58333333,9.533333333,Americas,Latin America and the Caribbean,48,1
Turbo,Colombia,-76.71666667,8.083333333,Americas,Latin America and the Caribbean,48,1
Moroni,Comoros,43.25506,-11.70216,Africa,Sub-Saharan Africa,49,1
Mutsamudu Anjouan ,Comoros,44.38333333,-12.15,Africa,Sub-Saharan Africa,49,1
Pointe Noire,Congo,11.85,-4.8,Africa,Sub-Saharan Africa,50,1
Banana,Congo The Democratic Republic Of The,12.40121189,-6.003633267,Africa,Sub-Saharan Africa,51,1
Aitutaki,Cook Islands,-159.79293,-18.85195,Oceania,Polynesia,52,1
Rarotonga,Cook Islands,-159.77545,-21.2075,Oceania,Polynesia,52,1
Caldera,Costa Rica,-84.71666667,9.95,Americas,Latin America and the Caribbean,53,1
Moin,Costa Rica,-83.08333333,10,Americas,Latin America and the Caribbean,53,1
Puerto Limon,Costa Rica,-83.03333333,10,Americas,Latin America and the Caribbean,53,1
Abidjan,Cote D'Ivoire (Ivory Coast),-4.016666667,5.333333333,Africa,Sub-Saharan Africa,54,1
San-Pedro,Cote D'Ivoire (Ivory Coast),-6.616666667,4.733333333,Africa,Sub-Saharan Africa,54,1
Ploce,Croatia (Hrvatska),17.43333333,43.05,Europe,Southern Europe,55,1
Rijeka,Croatia (Hrvatska),14.4,45.33333333,Europe,Southern Europe,55,1
Split,Croatia (Hrvatska),16.45,43.5,Europe,Southern Europe,55,1
Mariel,Cuba,-82.75,23,Americas,Latin America and the Caribbean,56,1
Moa,Cuba,-74.95075,20.65776,Americas,Latin America and the Caribbean,56,1
Santiago de Cuba,Cuba,-75.82667,20.02083,Americas,Latin America and the Caribbean,56,1
Willemstad,Curaao,-68.91666667,12.1,Americas,Latin America and the Caribbean,249,1
Limassol,Cyprus,33.05,34.68333333,Asia,Western Asia,57,1
Aalborg,Denmark,9.9187,57.048,Europe,Northern Europe,59,1
Aarhus,Denmark,10.21666667,56.15,Europe,Northern Europe,59,1
Esbjerg,Denmark,8.45187,55.47028,Europe,Northern Europe,59,1
Fredericia,Denmark,9.75257,55.56568,Europe,Northern Europe,59,1
Grenaa,Denmark,10.87825,56.41578,Europe,Northern Europe,59,1
Hundested,Denmark,11.85044,55.96397,Europe,Northern Europe,59,1
Kobenhavn,Denmark,12.58333333,55.66666667,Europe,Northern Europe,59,1
Skagen,Denmark,10.58394,57.72093,Europe,Northern Europe,59,1
Djibouti,Djibouti,43.14503,11.58901,Africa,Sub-Saharan Africa,60,1
Roseau,Dominica,-61.38808,15.30174,Americas,Latin America and the Caribbean,61,1
Boca Chica,Dominican Republic,-69.6,18.45,Americas,Latin America and the Caribbean,62,1
Caucedo,Dominican Republic,-69.63333333,18.41666667,Americas,Latin America and the Caribbean,62,1
Manzanillo,Dominican Republic,-71.75,19.7,Americas,Latin America and the Caribbean,62,1
Puerto Plata,Dominican Republic,-70.6884,19.79344,Americas,Latin America and the Caribbean,62,1
Dili,East Timor,125.5666667,-8.55,Asia,South-eastern Asia,63,1
Esmeraldas,Ecuador,-79.7,0.983333333,Americas,Latin America and the Caribbean,64,1
Guayaquil,Ecuador,-79.9,-2.166666667,Americas,Latin America and the Caribbean,64,1
Posorja,Ecuador,-80.25,-2.7,Americas,Latin America and the Caribbean,64,1
Puerto Bolivar,Ecuador,-79.98333333,-3.266666667,Americas,Latin America and the Caribbean,64,1
Dumyat (Damietta),Egypt,31.81666667,31.41666667,Africa,Northern Africa,65,1
El Dekheila,Egypt,29.82126,31.13133,Africa,Northern Africa,65,1
El Iskandariya (Alexandria),Egypt,29.91666667,31.18333333,Africa,Northern Africa,65,1
Port Said,Egypt,32.3019,31.26531,Africa,Northern Africa,65,1
Sokhna Port,Egypt,32.35,29.65,Africa,Northern Africa,65,1
Acajutla,El Salvador,-89.8275,13.59278,Americas,Latin America and the Caribbean,66,1
San Salvador,El Salvador,-89.18718,13.68935,Americas,Latin America and the Caribbean,66,1
Bata,Equatorial Guinea,9.76582,1.86391,Africa,Sub-Saharan Africa,67,1
Malabo,Equatorial Guinea,8.78166,3.75578,Africa,Sub-Saharan Africa,67,1
Massawa (Mitsiwa),Eritrea,39.45,15.6,Africa,Sub-Saharan Africa,68,1
Kunda,Estonia,26.53333333,59.51666667,Europe,Northern Europe,69,1
Muuga,Estonia,24.96666667,59.5,Europe,Northern Europe,69,1
Paldiski,Estonia,24.05,59.35,Europe,Northern Europe,69,1
Tallinn,Estonia,24.73333333,59.43333333,Europe,Northern Europe,69,1
Kollafjordur,Faroe Islands,-6.883333333,62.11666667,Europe,Northern Europe,72,1
Thorshavn,Faroe Islands,-6.766666667,62.01666667,Europe,Northern Europe,72,1
Lautoka,Fiji Islands,177.45,-17.61666667,Oceania,Melanesia,73,1
Suva,Fiji Islands,178.45,-18.13333333,Oceania,Melanesia,73,1
Abo (Turku),Finland,22.28333333,60.45,Europe,Northern Europe,74,1
Bjorneborg (Pori),Finland,21.8,61.48333333,Europe,Northern Europe,74,1
Fredrikshamn (Hamina),Finland,27.2,60.56666667,Europe,Northern Europe,74,1
Hamina (Fredrikshamn),Finland,27.2,60.56666667,Europe,Northern Europe,74,1
Hango (Hanko),Finland,22.95,59.83333,Europe,Northern Europe,74,1
Hanko (Hango),Finland,22.95,59.83333,Europe,Northern Europe,74,1
Helsingfors (Helsinki),Finland,24.93545,60.16952,Europe,Northern Europe,74,1
Helsinki (Helsingfors),Finland,24.93545,60.16952,Europe,Northern Europe,74,1
Jakobstad (Pietarsaari),Finland,22.78333333,63.68333333,Europe,Northern Europe,74,1
Karleby (Kokkola),Finland,23.11666667,63.83333333,Europe,Northern Europe,74,1
Kemi/Tornea (Kemi/Tornio),Finland,24.56666667,65.73333333,Europe,Northern Europe,74,1
Kemi/Tornio (Kemi/Tornea),Finland,24.56666667,65.73333333,Europe,Northern Europe,74,1
Kokkola (Karleby),Finland,23.11666667,63.83333333,Europe,Northern Europe,74,1
Kotka,Finland,26.91666667,60.46666667,Europe,Northern Europe,74,1
Pietarsaari (Jakobstad),Finland,22.78333333,63.68333333,Europe,Northern Europe,74,1
Pori (Bjorneborg),Finland,21.8,61.48333333,Europe,Northern Europe,74,1
Rauma (Raumo),Finland,21.5,61.13333333,Europe,Northern Europe,74,1
Raumo (Rauma),Finland,21.5,61.13333333,Europe,Northern Europe,74,1
Tornea (Tornio),Finland,24.18333333,65.85,Europe,Northern Europe,74,1
Tornio (Tornea),Finland,24.18333333,65.85,Europe,Northern Europe,74,1
Turku (Abo),Finland,22.28333333,60.45,Europe,Northern Europe,74,1
Valko (Valkom),Finland,26.24664,60.41392,Europe,Northern Europe,74,1
Valkom (Valko),Finland,26.24664,60.41392,Europe,Northern Europe,74,1
Bassens,France,-0.516666667,44.9,Europe,Western Europe,75,1
Brest,France,-4.483333333,48.4,Europe,Western Europe,75,1
Dunkerque,France,2.383333333,51.03333333,Europe,Western Europe,75,1
Fos-sur-Mer,France,4.933333333,43.43333333,Europe,Western Europe,75,1
la Pallice,France,-1.216666667,46.16666667,Europe,Western Europe,75,1
La Rochelle,France,-1.15,46.16666667,Europe,Western Europe,75,1
Le Havre,France,0.1,49.5,Europe,Western Europe,75,1
Marseille,France,5.4,43.3,Europe,Western Europe,75,1
Montoir-de-Bretagne,France,-2.15,47.33333333,Europe,Western Europe,75,1
Port-Vendres,France,3.116666667,42.51666667,Europe,Western Europe,75,1
Radicatel,France,0.5,49.5,Europe,Western Europe,75,1
Rouen,France,1.1,49.45,Europe,Western Europe,75,1
Sete,France,3.7,43.4,Europe,Western Europe,75,1
Toulon,France,5.933333333,43.11666667,Europe,Western Europe,75,1
Degrad des Cannes,French Guiana,-52.26666667,4.85,Americas,Latin America and the Caribbean,76,1
Bora Bora,French Polynesia,-151.75,-16.45,Oceania,Polynesia,77,1
Papeete,French Polynesia,-149.6166667,-17.55,Oceania,Polynesia,77,1
Libreville,Gabon,9.45356,0.39241,Africa,Sub-Saharan Africa,79,1
Port Gentil,Gabon,8.78151,-0.71933,Africa,Sub-Saharan Africa,79,1
Banjul,Gambia The,-16.57803,13.45274,Africa,Sub-Saharan Africa,80,1
Batumi,Georgia,41.63392,41.64228,Asia,Western Asia,81,1
Poti,Georgia,41.67384,42.14272,Asia,Western Asia,81,1
Brake,Germany,8.483333333,53.33333333,Europe,Western Europe,82,1
Bremen,Germany,8.80717,53.07582,Europe,Western Europe,82,1
Bremerhaven,Germany,8.59298,53.53615,Europe,Western Europe,82,1
Cuxhaven,Germany,8.7,53.88333333,Europe,Western Europe,82,1
Emden,Germany,7.216666667,53.36666667,Europe,Western Europe,82,1
Hamburg,Germany,9.99302,53.55073,Europe,Western Europe,82,1
Kiel,Germany,10.13333333,54.33333333,Europe,Western Europe,82,1
Lubeck,Germany,10.68729,53.86893,Europe,Western Europe,82,1
Rostock,Germany,12.13333333,54.08333333,Europe,Western Europe,82,1
Travemunde,Germany,10.8709,53.96304,Europe,Western Europe,82,1
Wilhelmshaven,Germany,8.133333333,53.51666667,Europe,Western Europe,82,1
Takoradi,Ghana,-1.76029,4.89816,Africa,Sub-Saharan Africa,83,1
Tema,Ghana,-0.01657,5.6698,Africa,Sub-Saharan Africa,83,1
Gibraltar,Gibraltar,-5.35257,36.14474,Europe,Southern Europe,84,1
Heraklion (Iraklion),Greece,25.16666667,35.33333333,Europe,Southern Europe,85,1
Iraklion (Heraklion),Greece,25.16666667,35.33333333,Europe,Southern Europe,85,1
Piraeus,Greece,23.61666667,37.93333333,Europe,Southern Europe,85,1
Thessaloniki,Greece,22.95,40.63333333,Europe,Southern Europe,85,1
Volos,Greece,22.95,39.36666667,Europe,Southern Europe,85,1
Nuuk (Godthaab),Greenland,-51.75,64.18333333,Americas,Northern America,86,1
Sisimiut (Holsteinsborg),Greenland,-53.6735,66.93946,Americas,Northern America,86,1
Saint George's,Grenada,-61.75226,12.05288,Americas,Latin America and the Caribbean,87,1
Point-a-Pitre Apt,Guadeloupe,-61.51666667,16.26666667,Americas,Latin America and the Caribbean,88,1
Piti,Guam,144.6833333,13.43333333,Oceania,Micronesia,89,1
Puerto Barrios,Guatemala,-88.59444,15.72778,Americas,Latin America and the Caribbean,90,1
Puerto Santo Tomas de Castilla,Guatemala,-88.61666667,15.7,Americas,Latin America and the Caribbean,90,1
Conakry,Guinea,-13.67729,9.53795,Africa,Sub-Saharan Africa,92,1
Bissau,Guinea-Bissau,-15.58333333,11.85,Africa,Sub-Saharan Africa,93,1
Georgetown,Guyana,-58.15527,6.80448,Americas,Latin America and the Caribbean,94,1
